"Show_Name","English","Type","Episodes","Rank","Score","Users","Popularity","Members","Favorites","Genre","Source","Licensors","Studios","Producers","Premiered"
"Fullmetal Alchemist: Brotherhood","Fullmetal Alchemist: Brotherhood","TV","64","1","9.25","735552","4","1202440","107142","Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen","Manga","Funimation, Aniplex of America","Bones","Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken","Spring 2009"
"Kimi no Na wa.","Your Name.","Movie","1","2","9.19","473780","33","733659","35064","Supernatural, Drama, Romance, School","Original","Funimation, NYAV Post","CoMix Wave Films","Kadokawa Shoten, Toho, Sound Team Don Juan, Lawson HMV Entertainment, Amuse, East Japan Marketing & Communications",""
"Gintama°","","","","3","","","","","","","","","","",""
"Steins;Gate","Steins;Gate","TV","24","4","9.14","566251","8","1013340","92702","Thriller, Sci-Fi","Visual novel","Funimation","White Fox","Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus","Spring 2011"
"Steins;Gate 0","","TV","23","5","9.13","28291","316","228315","1918","Sci-Fi, Thriller","Visual novel","Funimation","White Fox","Frontier Works, Media Factory, Kadokawa Shoten, Movic, Nitroplus","Spring 2018"
"Ginga Eiyuu Densetsu","Legend of the Galactic Heroes","OVA","110","6","9.11","29114","670","125405","8589","Military, Sci-Fi, Space, Drama","Novel","Sentai Filmworks","Artland, Magic Bus","Kitty Films",""
"Gintama'","Gintama Season 2","TV","51","7","9.11","92197","344","215947","4550","Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","Manga","None found, add some","Sunrise","TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Studio Jack, Shueisha","Spring 2011"
"Hunter x Hunter (2011)","Hunter x Hunter","TV","148","8","9.11","405164","34","723371","64549","Action, Adventure, Super Power, Shounen","Manga","Viz Media","Madhouse","VAP, Nippon Television Network, Shueisha","Fall 2011"
"3-gatsu no Lion 2nd Season","March Comes In Like A Lion 2nd Season","TV","22","9","9.09","31283","986","86551","2293","Drama, Game, Seinen, Slice of Life","Manga","Aniplex of America","Shaft","Aniplex, Dentsu, NHK, Hakusensha, Asmik Ace Entertainment, Toy's Factory","Fall 2017"
"Gintama': Enchousen","Gintama: Enchousen","TV","13","10","9.06","63606","684","123908","1509","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","Manga","None found, add some","Sunrise","TV Tokyo, Aniplex, Dentsu, Shueisha, Miracle Bus","Fall 2012"
"Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare","","Movie","1","11","9.04","61115","828","105715","1395","Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","Manga","None found, add some","Sunrise","TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros., Shueisha",""
"Koe no Katachi","A Silent Voice","Movie","1","12","9.04","298187","76","514861","19936","Drama, School, Shounen","Manga","NYAV Post","Kyoto Animation","Shochiku, Pony Canyon, Kodansha, ABC Animation, Quaras",""
