"Show_Name","English","Type","Episodes","Rank","Score","Users","Popularity","Members","Favorites","Genre","Source","Licensors","Studios","Producers","Premiered"
"Detective Conan: Chase the Mysterious Comet Monster!","","OVA","1","5191","6.60","294","7397","1554","1","Mystery","Manga","None found, add some","None found, add some","Shogakukan",""
"Dororon Enma-kun Meeramera","Ghastly Prince Enma Burning Up","TV","12","5192","6.60","4293","3323","12927","22","Action, Comedy, Parody, Super Power, Demons, Supernatural, Magic, Ecchi","Manga","NIS America, Inc.","Brain's Base","Mainichi Broadcasting System, Dynamic Planning","Spring 2011"
"Doubutsu Takarajima","Animal Treasure Island","Movie","1","5193","6.60","402","8065","1125","2","Adventure","Novel","Discotek Media","Toei Animation","None found, add some",""
"Dynamic Super Robots Soushingekki","","Special","3","5194","6.60","264","8934","704","0","Action, Mecha, Sci-Fi, Shounen","Unknown","None found, add some","None found, add some","Bandai Visual, Bee Media, Dynamic Planning",""
"Entaku no Kishi Monogatari: Moero Arthur","","TV","30","5195","6.60","233","8643","826","2","Adventure, Romance, Historical, Drama","Unknown","None found, add some","Toei Animation","None found, add some","Fall 1979"
"Etotama Specials","","Special","6","5196","6.60","2301","4826","5159","2","Action, Comedy, Fantasy","Unknown","None found, add some","Shirogumi, Encourage Films","None found, add some",""
"eX-Driver: Nina & Rei Danger Zone","","OVA","1","5197","6.60","1276","6190","2740","3","Action, Cars, Sci-Fi","Original","Geneon Entertainment USA","Actas","Bandai Visual, Genco",""
"Fluximation","","Music","14","5198","6.60","1353","6290","2618","1","Music","Unknown","None found, add some","Studio 4°C","None found, add some",""
"Gall Force 1: Eternal Story","Gall Force 1: Eternal Story","Movie","1","5199","6.60","1434","5518","3677","14","Action, Military, Sci-Fi, Adventure, Space, Mecha","Original","Central Park Media","AIC, Artmic, Animate Film","Movic, Sony Music Entertainment",""
"Gekiganger 3: The Movie","Gekiganger 3","OVA","1","5200","6.60","1401","5964","2999","3","Action, Comedy, Mecha, Parody, Sci-Fi, Shounen","Original","Nozomi Entertainment","Xebec","None found, add some",""
"Go-Q-Choji Ikkiman","Battle Ball","TV","32","5201","6.60","116","9918","403","5","Sci-Fi, Sports","Manga","None found, add some","Toei Animation","None found, add some","Spring 1986"
"Guitar wo Motta Shounen: Kikaider vs. Inazuman","The Boy Who Carried a Guitar: Kikaider vs. Inazuman","Special","1","5202","6.60","313","8653","823","1","Sci-Fi, Shounen","Unknown","None found, add some","None found, add some","Radix, Studio OX",""
"HenSemi","","OVA","2","5203","6.60","9049","2523","22188","39","Comedy, Ecchi, Seinen","Manga","None found, add some","Xebec","Starchild Records",""
"Hyakka Ryouran: Samurai After Specials","","Special","2","5204","6.60","2251","4734","5430","4","Ecchi","Unknown","None found, add some","Arms","None found, add some",""
"Jigoku Shoujo: Yoi no Togi","Hell Girl: Fourth Twilight","TV","6","5205","6.60","8348","2107","30185","137","Horror, Mystery, Psychological, Supernatural","Original","Aniplex of America","Studio Deen","Aniplex, Fujishouji","Summer 2017"
"Kagaku Ninja-tai Gatchaman F","Eagle Riders (2)","TV","48","5206","6.60","292","8083","1113","4","Action, Adventure, Sci-Fi, Shounen","Unknown","Sentai Filmworks, Saban Entertainment","Tatsunoko Production","Fuji TV","Fall 1979"
"Kiratto Pri<U+2606>chan","","","","5207","","","","","","","","","","",""
"KO Seiki Beast Sanjuushi","KO Century Beast Warriors","OVA","7","5208","6.60","477","7411","1536","6","Adventure, Comedy, Fantasy, Mecha, Shounen, Supernatural","Original","None found, add some","Gainax","Movic, Sony Music Entertainment",""
"Koukaku no Pandora","Pandora in the Crimson Shell","TV","12","5209","6.60","10562","2020","32513","75","Action, Comedy, Ecchi, Sci-Fi","Manga","Funimation","Studio Gokumi, AXsiZ","Lantis, Rakuonsha, AT-X, KlockWorx","Winter 2016"
"Leopard Eyes","","Music","1","5210","6.60","534","8113","1106","3","Music","Game","None found, add some","NAZ","None found, add some",""
"Little Lulu to Chicchai Nakama","Little Lulu","TV","26","5211","6.60","202","9591","487","3","Kids, Slice of Life, Comedy","Unknown","None found, add some","Nippon Animation","Asahi Broadcasting","Fall 1976"
"Madou King Granzort: Saigo no Magical Taisen","","OVA","2","5212","6.60","75","10629","275","0","Action, Sci-Fi, Comedy, Magic, Fantasy, Mecha, Shounen","Original","None found, add some","None found, add some","None found, add some",""
"Mori no Densetsu","Legend of the Forest","Movie","1","5213","6.60","635","7857","1241","1","Adventure, Drama, Fantasy, Music","Original","None found, add some","None found, add some","Tezuka Productions",""
"Morita-san wa Mukuchi.","","TV","13","5214","6.60","8040","2872","17310","12","Comedy, School, Slice of Life","4-koma manga","None found, add some","Seven","DAX Production, Takeshobo","Summer 2011"
"Nekojiru Gekijou Jirujiru Original","","TV","27","5215","6.60","3238","4156","7508","52","Action, Comedy","Manga","None found, add some","None found, add some","Japan Home Video","Summer 1999"
"Ninja Slayer From Animation","Ninja Slayer From Animation","ONA","26","5216","6.60","7405","2077","31096","163","Action","Novel","Funimation","Trigger","Movic, KlockWorx, Ultra Super Pictures, Grooove, Good Smile Company, famima.com, King Records, Fields, QREAZY",""
"Onigamiden","Legend of the Millennium Dragon","Movie","1","5217","6.60","4064","3814","9210","12","Action, Demons, Supernatural","Original","None found, add some","Studio Pierrot","Sony Music Entertainment, Atelier Musa",""
"PetoPeto-san","","TV","13","5218","6.60","1632","5001","4715","8","Comedy, Fantasy, Romance, School","Light novel","None found, add some","Xebec","Mellow Head, Genco, Media Factory, Toshiba Entertainment","Summer 2005"
"Pokemon Best Wishes! Season 2: Kyurem vs. Seikenshi","Pokemon the Movie: Kyurem VS. The Sword of Justice","Movie","1","5219","6.60","10850","2736","19047","7","Action, Adventure, Comedy, Kids, Drama, Fantasy","Game","The Pokemon Company International","OLM","TV Tokyo, Shogakukan Productions, Toho, Studio Jack",""
"Pokemon Ranger: Hikari no Kiseki","Pokémon Ranger: Guardian Signs","Special","2","5220","6.60","2399","4529","6038","2","Adventure, Comedy, Fantasy, Kids","Game","The Pokemon Company International","OLM","TV Tokyo",""
"Project A-Ko 4: Final","Project A-ko: Love & Robots","OVA","1","5221","6.60","1493","5962","3001","0","Action, Comedy, Mecha, Sci-Fi, Super Power","Original","None found, add some","Studio Fantasia","Pony Canyon",""
"Redial","","Music","1","5222","6.60","1382","6666","2189","3","Music","Unknown","None found, add some","None found, add some","Poncotan",""
"Rokumon Tengai Mon Colle Knights","Six Gates Faraway Mon Colle Knights","TV","51","5223","6.60","1153","5896","3096","14","Adventure, Comedy, Fantasy, Kids, Magic, Parody","Card game","None found, add some","Studio Deen","None found, add some","Winter 2000"
"Ryoutei no Aji","RYOTEI-NO-AJI","Special","","5224","6.60","365","8500","893","1","Slice of Life","Unknown","None found, add some","None found, add some","Robot Communications, Studio Colorido",""
"Ryuuseiki Gakusaver","Shooting Star Gakusaver","OVA","6","5225","6.60","193","8940","700","0","Action, Sci-Fi, Space, Comedy, Parody, Mecha, School","Original","None found, add some","Production I.G","Starchild Records, Movic",""
"Taiyou no Ouji: Horus no Daibouken","The Little Norse Prince","Movie","1","5226","6.60","2402","4985","4750","8","Adventure, Drama, Magic","Unknown","Discotek Media","Toei Animation","None found, add some",""
"Take Your Way","","Music","1","5227","6.60","1089","6926","1949","2","Action, Supernatural, Music, Seinen","Unknown","None found, add some","None found, add some","NAZ",""
"Tenshi no Shippo Chu!","","TV","11","5228","6.60","1734","5240","4171","4","Fantasy, Magic, Romance","Unknown","None found, add some","None found, add some","Bandai Visual","Spring 2003"
"Tentai Senshi Sunred: Short Corner","","Special","4","5229","6.60","209","9163","619","1","Comedy, Parody, Seinen, Super Power","Unknown","None found, add some","AIC A.S.T.A.","None found, add some",""
"The House","The House","Movie","1","5230","6.60","106","10270","337","1","Kids, Fantasy, Drama","Unknown","None found, add some","None found, add some","None found, add some",""
"To Heart 2","To Heart 2","TV","13","5231","6.60","5453","3009","15623","35","Comedy, Drama, Harem, Romance, School, Slice of Life","Visual novel","Maiden Japan","OLM","None found, add some","Fall 2005"
"Wakakusa no Yon Shimai","Little Women","TV","26","5232","6.60","198","9098","649","0","Slice of Life, Historical, Drama","Novel","None found, add some","Toei Animation","Kokusai Eigasha","Spring 1981"
"X²: Double X","","","","5233","","","","","","","","","","",""
"Yakyuukyou no Uta","","TV","25","5234","6.60","69","9657","471","0","Action, Drama, Sports","Unknown","None found, add some","Nippon Animation","Studio Jack","Winter 1978"
"Yozakura Quartet: Yoza-Quar!","","Special","6","5235","6.60","1233","4486","6167","4","Comedy","Unknown","None found, add some","Tatsunoko Production","None found, add some",""
"Yuusha Exkaiser","The Brave Fighter Exkizer","TV","48","5236","6.60","189","8325","982","3","Action, Mecha, Sci-Fi, Shounen","Original","None found, add some","Sunrise","Nagoya TV Housou","Winter 1990"
"Zinba","Zinba","TV","52","5237","6.60","83","9825","428","6","Action, Adventure, Comedy, Super Power, Demons, Magic","Unknown","None found, add some","None found, add some","G.CMay Animation & Film","?"
"Anne no Nikki: Anne Frank Monogatari","","Special","1","5238","6.59","101","9507","510","0","Drama, Historical","Unknown","None found, add some","Nippon Animation","None found, add some",""
"Black Shout","Black Shout","Music","1","5239","6.59","271","9021","676","1","Music","Manga","None found, add some","None found, add some","None found, add some",""
"Blossom","","Movie","1","5240","6.59","2083","5662","3449","2","Music","Unknown","None found, add some","Ordet","None found, add some",""
"Bomberman B-Daman Bakugaiden Victory","","TV","50","5241","6.59","466","7992","1163","0","Sci-Fi, Shounen","Unknown","None found, add some","Madhouse","Nagoya TV Housou","Winter 1999"
"Cinderella Girls Gekijou","THE IDOLM@STER CINDERELLA GIRLS Theater","TV","13","5242","6.59","3214","3658","10190","13","Slice of Life, Comedy","4-koma manga","None found, add some","Gathering, Lesprit","Frontier Works, Half H.P Studio, Nippon Columbia, Bandai Namco Entertainment, Anime Consortium Japan","Spring 2017"
"Clockwork Planet","Clockwork Planet","TV","12","5243","6.59","30519","925","92465","279","Sci-Fi, Fantasy","Light novel","Funimation","Xebec","TBS, Kodansha, NBCUniversal Entertainment Japan, NichiNare, GYAO!","Spring 2017"
"Crying Freeman","","OVA","6","5244","6.59","2239","4535","6013","26","Action, Police, Martial Arts, Romance, Drama, Seinen","Manga","ADV Films, Discotek Media","Toei Animation","None found, add some",""
"Cyborg 009 VS Devilman","","OVA","3","5245","6.59","3029","4425","6405","15","Action, Sci-Fi, Super Power, Demons, Supernatural, Shounen","Original","None found, add some","Actas, Bee Media","Lantis, Half H.P Studio",""
"Dakara Boku wa, H ga Dekinai. Recap","So, I Can't Play H!","Special","1","5246","6.59","7395","3021","15539","8","Comedy, Ecchi, Romance, Supernatural","Light novel","None found, add some","feel.","Geneon Universal Entertainment, Sotsu, Lantis",""
"Detonator Orgun","Detonator Orgun","OVA","3","5247","6.59","1649","5623","3513","13","Action, Sci-Fi, Mecha","Original","Central Park Media","AIC, Artmic","Darts",""
"Fusha no Sha","To Shoot Without Shooting","Movie","1","5248","6.59","248","9280","574","2","Adventure, Martial Arts, Samurai, Supernatural, Historical","Other","None found, add some","None found, add some","Shanghai Animation Film Studio",""
"Futakoi","Twin Love","TV","13","5249","6.59","12737","2253","27033","18","Comedy, Romance, School","Original","None found, add some","Telecom Animation Film","Lantis","Fall 2004"
"Ganso Tensai Bakabon","","TV","103","5250","6.59","89","9957","398","0","Slice of Life, Comedy","Unknown","None found, add some","None found, add some","Tokyo Movie Shinsha","Fall 1975"
"Go! Go! Itsutsugo Land","","TV","50","5251","6.59","218","9465","520","0","School","Unknown","None found, add some","Eiken","None found, add some","Spring 2001"
"Gokujou!! Mecha Mote Iinchou Second Collection","The Best!! Extremely Cool Student Council President Second Collection","TV","51","5252","6.59","322","7315","1620","2","Comedy, Romance, School, Shoujo","Manga","None found, add some","SynergySP","TV Tokyo, Shogakukan Productions","Spring 2010"
"Gundam Build Divers Prologue","","ONA","1","5253","6.59","1784","5955","3028","1","Action, Sci-Fi, Mecha","Original","None found, add some","None found, add some","None found, add some",""
"Hanayaka Nari, Waga Ichizoku: Kinetograph","","OVA","2","5254","6.59","4354","3644","10271","36","Historical, Drama, Josei","Visual novel","None found, add some","Anpro, teamKG","Lantis",""
"Higurashi no Naku Koro ni Kira","","OVA","4","5255","6.59","28443","1433","55602","109","Mystery, Parody","Original","None found, add some","Studio Deen","Frontier Works",""
"Interlude","","OVA","3","5256","6.59","3787","3808","9214","17","Adventure, Horror, Mystery","Visual novel","Funimation","Toei Animation","Happinet Pictures",""
